id,quoted_text,content
NgVF2GOos-wsYbHY3YggT,"核心需求",""
aBXlXszWTO29cpqrgdMH-,"需要支持符号链接（symlink）",""
4YGVkMQh1qgomsFkOvDqg,"业务流程",""
XMP-ZRS9nVkJBCs_RH-9c,"步骤 6-7（INSERT mfs_commits + mfs_file_changes）是写入点",""
sSoIdFwLVra3O_OwgZKC6,"置",""
sKX6pwICcTEBw3cvPPeJJ,"文件修改的写前删会立即清除缓存，保证不会读到过期数据。",""
XN-RNIh3guX-HVTY_8jeL,"8. Agent 提交",""
hFU0JMryriuL4I3zjDLJB,"Agent 运行结束后将本地变更回写，使用 Content-Addressed API。",""
w8Ela67cSt7O0VMt3UvLz,"双写阶段，`ProjectService` 如何同时写 Gitea 和 MFS？写入顺序是先 Gitea 再 MFS 还是反过来？一方失败时另一方如何处理？\n\nA：先写 Gitea，再写 MFS。MFS 写入失败时静默记录日志，不阻断业务；Gitea 写入失败时直接报错，不写 MFS。Gitea 是现有的 source of truth，灰度阶段保证 Gitea 数据完整性。可以考虑切换到 MFS 之前，运行一次全量对账脚本（diff Gitea tree vs MFS files），补齐缺失的变更。",""
2J526YcgJtyPA9lUraHaI,"A：全量批量导入，不做懒迁移。按需懒迁移的方式每次读取需判断是否已迁移；可能长期处于半迁移状态；增加读路径复杂度。",""
knww-D-QeP58MUcLA2Km0,"MFS 用 `content_hash` 做 last-write-wins。",""
nofN8yeWON5TQOqkQ6CDf,"A：保持双写到完全确认，灰度阶段采用 Q1 的"先 Gitea 再 MFS"方案，Gitea 始终有完整数据，回滚只需切换 `storage_backend` 回 1，**无需反向同步**。",""
